"Keywords","Avg Searches","Avg Clicks","Avg CTR","Etsy Competition","Keyword Difficulty"
"geometric embroidery pattern","< 20","< 20","100%","11,328","100"
"folk art embroidery","< 20","< 20","< 20%","11,224","100"
"scandinavian embroidery","< 20","< 20","< 20%","3,602","100"
"mandala embroidery pattern","< 20","Unknown","Unknown","4,994","100"
"modern embroidery pattern","< 20","Unknown","Unknown","144,506","100"
"abstract embroidery pattern","< 20","Unknown","Unknown","11,439","100"
"boho embroidery pattern","< 20","Unknown","Unknown","18,907","100"
"cottagecore embroidery","< 20","Unknown","Unknown","19,700","100"
"maximalist embroidery","< 20","Unknown","Unknown","372","100"
"geometric mandala pattern","Unknown","Unknown","Unknown","6,884",""
"minimalist embroidery pattern","Unknown","Unknown","Unknown","5,199",""
"symmetrical embroidery","Unknown","Unknown","Unknown","Unknown",""
"circular embroidery pattern","Unknown","Unknown","Unknown","Unknown",""
"radial embroidery design","Unknown","Unknown","Unknown","Unknown",""
"ornamental embroidery pattern","Unknown","Unknown","Unknown","Unknown",""
"linework embroidery pattern","Unknown","Unknown","Unknown","Unknown",""
"contemporary embroidery","Unknown","Unknown","Unknown","7,826",""
"minimalist hoop art","Unknown","Unknown","Unknown","3,605",""
"retro floral embroidery","Unknown","Unknown","Unknown","Unknown",""
"mid century embroidery","Unknown","Unknown","Unknown","4,348",""
