"Keywords","Avg Searches","Avg Clicks","Avg CTR","Etsy Competition","Keyword Difficulty"
"botanical wreath","< 20","Unknown","Unknown","12,034","100"
"branch wreath","< 20","Unknown","Unknown","6,460","100"
"calming wall art","< 20","< 20","< 20%","123,118","100"
"diamond pattern","< 20","Unknown","Unknown","51,579","100"
"folk art embroidery","< 20","< 20","< 20%","11,224","100"
"folk botanical","< 20","Unknown","Unknown","6,948","100"
"geometric wreath","< 20","Unknown","Unknown","6,616","100"
"gift for crafter","< 20","Unknown","Unknown","4,694,236","100"
"greenery embroidery","< 20","Unknown","Unknown","1,076","100"
"handmade gift craft","< 20","Unknown","Unknown","249,752","100"
"line art embroidery","< 20","Unknown","Unknown","10,848","100"
"meditative craft","< 20","Unknown","Unknown","1,181","100"
"mindful stitching","< 20","Unknown","Unknown","2,472","100"
"modern wreath","< 20","Unknown","Unknown","18,225","100"
"twig embroidery","< 20","Unknown","Unknown","367","100"
"wreath embroidery","< 20","< 20","25%","29,271","100"
"beginner craft","< 20","Unknown","Unknown","182,103","100"
"beginner embroidery","< 20","< 20","100%","83,716","100"
"beginner friendly","< 20","Unknown","Unknown","53,238","100"
"beginner pattern","< 20","Unknown","Unknown","258,321","100"
