"Keywords","Avg Searches","Avg Clicks","Avg CTR","Etsy Competition","Keyword Difficulty"
"girlfriend gift","935","1,139","122%","523,308","100"
"gardening shirt","654","668","102%","51,805","95"
"stress relief","641","526","82%","87,393","100"
"christmas embroidery","618","574","93%","351,284","100"
"hand embroidery","564","570","101%","183,497","100"
"retro christmas","502","497","99%","726,061","100"
"instant download","440","643","146%","3,673,189","100"
"snowman decor","411","397","97%","178,633","100"
"funny candle","403","451","112%","130,039","100"
"poinsettia","333","367","110%","72,899","100"
"christmas gift set","330","345","105%","379,614","100"
"christmas bundle","298","385","129%","259,140","100"
"thanksgiving craft","232","241","104%","254,824","100"
"custom family gift","214","214","100%","674,362","100"
"digital pattern","211","299","142%","1,645,527","100"
"candy cane","198","193","97%","135,479","100"
"embroidery hoop","196","271","138%","162,947","100"
"nutcracker gift","188","227","121%","35,448","100"
"pinback button","144","50","35%","100,318","100"
"engraved ornament","127","132","104%","50,244","100"
