"Keywords","Avg Searches","Avg Clicks","Avg CTR","Etsy Competition","Keyword Difficulty"
"mandala embroidery pattern","< 20","Unknown","Unknown","4,994","100"
"geometric hand embroidery patterns","Unknown","Unknown","Unknown","Unknown",""
"snowman pattern","< 20","Unknown","Unknown","41,277","100"
"embroidered kippah women","Unknown","Unknown","Unknown","Unknown",""
"hand embroidery pdf geometric","Unknown","Unknown","Unknown","Unknown",""
"modern minimalist embroidery pattern","Unknown","Unknown","Unknown","Unknown",""
"paper embriodery template","Unknown","Unknown","Unknown","Unknown",""
"mandala embroidery design","Unknown","Unknown","Unknown","2,059",""
"mandala embroidery pattern download","Unknown","Unknown","Unknown","2,363",""
"hand embroidery pattern pdf","< 20","Unknown","Unknown","46,981","100"
"botanical embroidery design hand embroidery","< 20","Unknown","Unknown","Unknown",""
"medieval embroidery patterns","< 20","Unknown","Unknown","Unknown",""
"stick and stitch","1,166","1,136","97%","9,591","46"
"advent calendar","8,347","10,051","120%","33,071","30"
"ultrasound ornament","505","580","115%","2,075","31"
"needle minder","3,246","4,041","124%","29,016","48"
"calm stitching","Unknown","Unknown","Unknown","1,808",""
"christmas embroidery designs","1,541","1,444","94%","41,020","71"
"gingerbread ornament","2,168","2,801","129%","43,397","65"
"punch needle kit","1,262","1,273","101%","8,595","42"
