Date (ET),Views,Clicks,Orders,Revenue (USD),Spend (USD),ROAS,Click rate,Ending budget (USD)
"Jun 25, 2026",0,0,0,0,0,0,0,0
"Jun 26, 2026",0,0,0,0,0,0,0,0
"Jun 27, 2026",0,0,0,0,0,0,0,0
"Jun 28, 2026",0,0,0,0,0,0,0,0
"Jun 29, 2026",0,0,0,0,0,0,0,0
"Jun 30, 2026",0,0,0,0,0,0,0,0
"Jul 1, 2026",0,0,0,0,0,0,0,0
"Jul 2, 2026",0,0,0,0,0,0,0,0
"Jul 3, 2026",0,0,0,0,0,0,0,0
"Jul 4, 2026",0,0,0,0,0,0,0,0
"Jul 5, 2026",0,0,0,0,0,0,0,0
"Jul 6, 2026",0,0,0,0,0,0,0,0
"Jul 7, 2026",0,0,0,0,0,0,0,0
"Jul 8, 2026",0,0,0,0,0,0,0,0
"Jul 9, 2026",0,0,0,0,0,0,0,0
"Jul 10, 2026",0,0,0,0,0,0,0,0
"Jul 11, 2026",0,0,0,0,0,0,0,0
"Jul 12, 2026",0,0,0,0,0,0,0,0
"Jul 13, 2026",0,0,0,0,0,0,0,0
"Jul 14, 2026",0,0,0,0,0,0,0,0
"Jul 15, 2026",0,0,0,0,0,0,0,0
"Jul 16, 2026",0,0,0,0,0,0,0,0
"Jul 17, 2026",67,1,0,0,0.2,0,1.5,1
"Jul 18, 2026",8,0,0,0,0,0,0,1
"Jul 19, 2026",122,1,0,0,0.14,0,0.8,1
"Jul 20, 2026",72,2,0,0,0.42,0,2.8,5
"Jul 21, 2026",30,0,0,0,0,0,0,5
"Jul 22, 2026",25,0,0,0,0,0,0,25
"Jul 23, 2026",33,1,0,0,0.12,0,3,25
"Jul 24, 2026",8,0,1,2.49,0,0,0,25
"Jul 25, 2026",12,0,0,0,0,0,0,25
