"Keywords","Avg Searches","Avg Clicks","Avg CTR","Etsy Competition","Keyword Difficulty"
"sacred geometry","1,063","1,113","105%","38,460","78"
"geometric floral","< 20","Unknown","Unknown","131,436","100"
"geometric flowers","Unknown","Unknown","Unknown","187,032",""
"geometric leaves","Unknown","Unknown","Unknown","32,458",""
"polygon embroidery","Unknown","Unknown","Unknown","Unknown",""
"hexagon embroidery","Unknown","Unknown","Unknown","1,029",""
"triangle embroidery","Unknown","Unknown","Unknown","1,802",""
"diamond embroidery","Unknown","Unknown","Unknown","15,570",""
"circle embroidery","Unknown","Unknown","Unknown","13,411",""
"spiral embroidery","Unknown","Unknown","Unknown","1,082",""
"concentric circles","Unknown","Unknown","Unknown","1,467",""
"interlocking shapes","Unknown","Unknown","Unknown","388",""
"repeating geometry","Unknown","Unknown","Unknown","Unknown",""
"tessellation art","Unknown","Unknown","Unknown","344",""
"grid embroidery","Unknown","Unknown","Unknown","Unknown",""
"lattice embroidery","Unknown","Unknown","Unknown","Unknown",""
"mosaic embroidery","Unknown","Unknown","Unknown","9,968",""
"faceted pattern","Unknown","Unknown","Unknown","Unknown",""
"angular embroidery","Unknown","Unknown","Unknown","22",""
"linear embroidery","Unknown","Unknown","Unknown","331",""
