"Keywords","Avg Searches","Avg Clicks","Avg CTR","Etsy Competition","Keyword Difficulty"
"wellness embroidery pattern","Unknown","Unknown","Unknown","Unknown",""
"self care stitching","Unknown","Unknown","Unknown","670",""
"mental wellness craft","Unknown","Unknown","Unknown","Unknown",""
"mental health embroidery","< 20","Unknown","Unknown","3,022","100"
"therapeutic stitching","Unknown","Unknown","Unknown","51",""
"creative wellness activity","Unknown","Unknown","Unknown","Unknown",""
"art therapy craft","Unknown","Unknown","Unknown","9,730",""
"mindful making project","Unknown","Unknown","Unknown","Unknown",""
"creative self care","Unknown","Unknown","Unknown","7,215",""
"embroidery for relaxation","Unknown","Unknown","Unknown","Unknown",""
"stitching for relaxation","Unknown","Unknown","Unknown","Unknown",""
"embroidery for mindfulness","Unknown","Unknown","Unknown","Unknown",""
"craft for stress relief","Unknown","Unknown","Unknown","Unknown",""
"calming hobby for adults","Unknown","Unknown","Unknown","Unknown",""
"relaxing creative hobby","Unknown","Unknown","Unknown","2,113",""
"wellbeing craft project","Unknown","Unknown","Unknown","Unknown",""
"rest and reset craft","Unknown","Unknown","Unknown","Unknown",""
"peaceful creative activity","Unknown","Unknown","Unknown","Unknown",""
"comfort craft project","Unknown","Unknown","Unknown","Unknown",""
"wellness craft for adults","Unknown","Unknown","Unknown","Unknown",""
