"Keywords","Avg Searches","Avg Clicks","Avg CTR","Etsy Competition","Keyword Difficulty"
"personalized gift","41,355","47,129","114%","5,573,446","100"
"digital products","31,237","40,034","128%","156,839","35"
"housewarming gift","13,596","15,407","113%","1,468,837","100"
"christmas ornament","9,166","12,245","134%","2,050,300","100"
"personalized home","7,375","6,400","87%","3,301,344","100"
"embroidery designs","7,082","7,772","110%","248,390","77"
"digital product","6,246","7,978","128%","156,843","70"
"stocking stuffer","6,159","6,782","110%","535,836","97"
"self care gift","5,843","7,048","121%","182,328","75"
"best friend gift","4,148","4,123","99%","430,257","100"
"nutcracker","2,890","3,199","111%","101,565","77"
"embroidery pattern","2,555","2,919","114%","1,214,149","100"
"christmas wall art","2,298","2,676","116%","1,809,828","100"
"bedroom wall art","1,953","1,989","102%","3,832,851","100"
"family ornament","1,701","2,362","139%","304,449","100"
"boho wall decor","1,583","1,557","98%","706,188","100"
"christmas village","1,224","1,545","126%","77,006","90"
"pet ornament","1,193","1,248","105%","147,029","100"
"photo ornament","1,174","1,612","137%","93,353","95"
"snow globe","966","1,132","117%","39,973","81"
