"Keywords","Avg Searches","Avg Clicks","Avg CTR","Etsy Competition","Keyword Difficulty"
"beginner embroidery pattern","< 20","< 20","< 20%","64,180","100"
"easy embroidery pattern","< 20","Unknown","Unknown","84,190","100"
"simple embroidery pattern","< 20","Unknown","Unknown","29,333","100"
"first embroidery project","Unknown","Unknown","Unknown","Unknown",""
"learn hand embroidery","< 20","Unknown","Unknown","1,449","100"
"embroidery for beginners","< 20","Unknown","Unknown","80,505","100"
"beginner stitching project","Unknown","Unknown","Unknown","4,537",""
"easy hoop embroidery","Unknown","Unknown","Unknown","Unknown",""
"simple hoop pattern","Unknown","Unknown","Unknown","Unknown",""
"quick embroidery project","Unknown","Unknown","Unknown","Unknown",""
"weekend embroidery project","Unknown","Unknown","Unknown","Unknown",""
"relaxing craft project","Unknown","Unknown","Unknown","1,451",""
"mindful stitching pattern","Unknown","Unknown","Unknown","Unknown",""
"slow stitching pattern","< 20","Unknown","Unknown","Unknown",""
"mindfulness craft","Unknown","Unknown","Unknown","8,437",""
"self care craft project","Unknown","Unknown","Unknown","Unknown",""
"adult craft pattern","Unknown","Unknown","Unknown","57,401",""
"teen embroidery pattern","Unknown","Unknown","Unknown","Unknown",""
"embroidery gift for beginner","Unknown","Unknown","Unknown","Unknown",""
"craft night project","< 20","Unknown","Unknown","2,162","100"
