"Keywords","Avg Searches","Avg Clicks","Avg CTR","Etsy Competition","Keyword Difficulty"
"mid century pattern","< 20","Unknown","Unknown","37,649","100"
"bauhaus embroidery","Unknown","Unknown","Unknown","125",""
"art deco embroidery","< 20","Unknown","Unknown","5,932","100"
"scandi geometry","Unknown","Unknown","Unknown","45",""
"nordic geometry","Unknown","Unknown","Unknown","124",""
"geometric folk art","Unknown","Unknown","Unknown","8,130",""
"abstract embroidery","< 20","Unknown","Unknown","23,107","100"
"minimal line art","< 20","Unknown","Unknown","32,936","100"
"monoline embroidery","Unknown","Unknown","Unknown","Unknown",""
"continuous line art","< 20","Unknown","Unknown","6,317","100"
"structured pattern","Unknown","Unknown","Unknown","Unknown",""
"balanced geometry","Unknown","Unknown","Unknown","Unknown",""
"modular pattern","Unknown","Unknown","Unknown","916",""
"architectural art","< 20","< 20","< 20%","456,166","100"
"op art embroidery","Unknown","Unknown","Unknown","44",""
"retro geometry","Unknown","Unknown","Unknown","1,060",""
"color block pattern","Unknown","Unknown","Unknown","4,814",""
"geometric sampler","Unknown","Unknown","Unknown","2,148",""
"geometric hoop art","Unknown","Unknown","Unknown","3,944",""
"geometric thread art","Unknown","Unknown","Unknown","834",""
