"Keywords","Avg Searches","Avg Clicks","Avg CTR","Etsy Competition","Keyword Difficulty"
"bohemian pattern","< 20","Unknown","Unknown","43,708","100"
"boho embroidery","< 20","Unknown","Unknown","52,500","100"
"botanical embroidery","< 20","Unknown","Unknown","20,955","100"
"botanical pattern","< 20","Unknown","Unknown","70,399","100"
"celestial pattern","< 20","Unknown","Unknown","26,849","100"
"easy embroidery","< 20","Unknown","Unknown","95,636","100"
"embroidery gift","< 20","Unknown","Unknown","505,731","100"
"hand drawn pattern","< 20","Unknown","Unknown","48,407","100"
"hoop embroidery","< 20","Unknown","Unknown","159,516","100"
"leaf embroidery","< 20","Unknown","Unknown","33,210","100"
"linen embroidery","< 20","Unknown","Unknown","52,740","100"
"nature embroidery","< 20","Unknown","Unknown","50,352","100"
"needlework pattern","< 20","Unknown","Unknown","61,160","100"
"organic pattern","< 20","Unknown","Unknown","21,070","100"
"pdf pattern","< 20","Unknown","Unknown","1,236,972","100"
"printable pattern","< 20","Unknown","Unknown","324,397","100"
"simple embroidery","< 20","Unknown","Unknown","37,085","100"
"sketch embroidery","< 20","Unknown","Unknown","46,420","100"
"slow stitching","< 20","< 20","< 20%","9,687","100"
"star embroidery","< 20","Unknown","Unknown","31,001","100"
