"Keywords","Avg Searches","Avg Clicks","Avg CTR","Etsy Competition","Keyword Difficulty"
"floral embroidery pattern","436","463","106%","84,019","100"
"botanical mandala","30","Unknown","Unknown","1,612","87"
"wildflower embroidery","< 20","< 20","< 20%","13,684","100"
"botanical embroidery pattern","< 20","< 20","< 20%","10,166","100"
"leaf embroidery pattern","< 20","Unknown","Unknown","15,913","100"
"nature embroidery pattern","< 20","Unknown","Unknown","28,572","100"
"modern floral embroidery","Unknown","Unknown","Unknown","23,610",""
"flower hoop pattern","Unknown","Unknown","Unknown","Unknown",""
"folk floral embroidery","Unknown","Unknown","Unknown","3,850",""
"floral mandala pattern","Unknown","Unknown","Unknown","8,205",""
"geometric botanical embroidery","Unknown","Unknown","Unknown","Unknown",""
"modern botanical hoop art","Unknown","Unknown","Unknown","Unknown",""
"printable botanical embroidery pattern","Unknown","Unknown","Unknown","Unknown",""
"simple floral hoop pattern","Unknown","Unknown","Unknown","Unknown",""
"minimalist flower embroidery pattern","Unknown","Unknown","Unknown","Unknown",""
"garden lover craft","Unknown","Unknown","Unknown","Unknown",""
"floral pattern bundle","Unknown","Unknown","Unknown","15,582",""
"geometric botanical art","Unknown","Unknown","Unknown","44,732",""
"beginner floral embroidery pdf","Unknown","Unknown","Unknown","Unknown",""
"flower lover gift diy","Unknown","Unknown","Unknown","Unknown",""
