"Keywords","Avg Searches","Avg Clicks","Avg CTR","Etsy Competition","Keyword Difficulty"
"mid century geometric embroidery","Unknown","Unknown","Unknown","Unknown",""
"bauhaus embroidery pattern","Unknown","Unknown","Unknown","Unknown",""
"art deco geometric embroidery","Unknown","Unknown","Unknown","Unknown",""
"scandinavian geometric embroidery","Unknown","Unknown","Unknown","Unknown",""
"nordic geometric pattern","Unknown","Unknown","Unknown","Unknown",""
"folk geometric embroidery","Unknown","Unknown","Unknown","Unknown",""
"modern abstract embroidery","< 20","Unknown","Unknown","7,039","100"
"minimal line embroidery","Unknown","Unknown","Unknown","Unknown",""
"monoline embroidery pattern","Unknown","Unknown","Unknown","Unknown",""
"continuous line embroidery","< 20","Unknown","Unknown","721","100"
"structured embroidery pattern","Unknown","Unknown","Unknown","Unknown",""
"balanced embroidery design","Unknown","Unknown","Unknown","Unknown",""
"modular embroidery pattern","Unknown","Unknown","Unknown","Unknown",""
"architectural embroidery","Unknown","Unknown","Unknown","Unknown",""
"op art embroidery pattern","Unknown","Unknown","Unknown","Unknown",""
"retro geometric embroidery","Unknown","Unknown","Unknown","Unknown",""
"color block embroidery","Unknown","Unknown","Unknown","Unknown",""
"geometric sampler pattern","Unknown","Unknown","Unknown","Unknown",""
"geometric hoop wall art","Unknown","Unknown","Unknown","Unknown",""
"geometric thread art","Unknown","Unknown","Unknown","834",""
