"Keywords","Avg Searches","Avg Clicks","Avg CTR","Etsy Competition","Keyword Difficulty"
"embroidery wall art","< 20","< 20","< 20%","122,645","100"
"handmade wall decor","< 20","< 20","< 20%","370,807","100"
"stitchable wall art","Unknown","Unknown","Unknown","Unknown",""
"embroidery decor pattern","Unknown","Unknown","Unknown","Unknown",""
"handmade gift project","Unknown","Unknown","Unknown","Unknown",""
"frameable embroidery","Unknown","Unknown","Unknown","48,721",""
"embroidery pattern bundle","108","49","45%","17,559","100"
"mandala pattern bundle","Unknown","Unknown","Unknown","Unknown",""
"pattern for stitchers","Unknown","Unknown","Unknown","Unknown",""
"craft gift for her","< 20","Unknown","Unknown","250,282","100"
"mothers day embroidery","< 20","Unknown","Unknown","56,228","100"
"spring embroidery pattern","< 20","Unknown","Unknown","36,333","100"
"fall embroidery pattern","< 20","Unknown","Unknown","30,326","100"
"zen embroidery pattern","Unknown","Unknown","Unknown","Unknown",""
"meditative embroidery","Unknown","Unknown","Unknown","Unknown",""
"easy geometric embroidery pattern","Unknown","Unknown","Unknown","Unknown",""
"christmas embroidery pattern","< 20","< 20","46%","209,313","100"
"diy embroidered gift","Unknown","Unknown","Unknown","5,820",""
"diy hoop wall art","Unknown","Unknown","Unknown","3,646",""
"modern mandala embroidery pdf","Unknown","Unknown","Unknown","Unknown",""
