"Keywords","Avg Searches","Avg Clicks","Avg CTR","Etsy Competition","Keyword Difficulty"
"custom snow globe","126","128","102%","4,256","76"
"fall embroidery","124","125","101%","82,506","100"
"nutcracker decor","123","128","104%","45,067","100"
"personalized penguin","118","171","145%","7,399","90"
"winter wonderland","108","101","94%","89,213","100"
"heart ornament","106","103","97%","73,383","100"
"christmas tree art","102","97","95%","447,378","100"
"house embroidery","98","93","95%","31,171","100"
"kids christmas craft","96","93","97%","1,054,195","100"
"classic christmas","95","93","98%","185,555","100"
"embroidery template","93","126","135%","72,304","100"
"pdf download","71","< 20","< 20%","1,294,194","100"
"christmas bow","54","77","143%","347,042","100"
"bow embroidery","53","69","130%","66,082","100"
"funny badge","43","63","147%","68,945","100"
"printable pdf","40","52","130%","898,229","100"
"circle wall decor","38","52","137%","93,759","100"
"cottagecore pattern","28","Unknown","Unknown","51,115","100"
"tree embroidery","28","Unknown","Unknown","77,539","100"
"whimsical forest art","22","< 20","32%","26,950","100"
